conference,paper,year,title,conceptual paper,DASA,Open access,batch,reviewer 2,input data,methods/analysis/processing,computational environment,results,reviewer 2 notes,AGILE Reproducible badge,AGILE Reproducible report
agile,agile_2021_008,2021,"Geographic Question Answering: Challenges, Uniqueness, Classification, and Future Directions (copernicus.org)",T,yes,yes,1,TN,NA,NA,F,NA,"TN: 
This paper is a discussion and classification paper, suggesting research directions. 
However, for the research shown in the figures, it is documented how it was carried out (Google Search, OSM, GeoSPARQL, QGIS). ",F,NA
agile,agile_2021_009,2021,Prophet model for forecasting occupancy presence in indoor spaces using non-intrusive sensors (copernicus.org),F,yes,yes,1,DN,0 undocumented,1 documented,F,1 documented,"DN: physical experiment in a classroom with a number of sensing devices and IoT network; DASA section points to base software (still exists/mainted); proprietary code used, sample data shared upon request;",F,NA
agile,agile_2021_010,2021,Building Change Detection of Airborne Laser Scanning and Dense Image Matching Point Clouds using Height and Class Information (copernicus.org),F,yes,yes,1,EK,0 undocumented,1 documented,F,1 documented,"Synthetic data and code for reproduction where provided to the repro. reviewer to verify functionality, but are not available anywhere;
QGIS project that visualizes classification results is provided in OSF report repo;",T,OSF | Reproducibility review of: Building Change Detection of Airborne Laser Scanning and Dense Image Matching Point Clouds using Height and Class Information
agile,agile_2021_011,2021,Extraction of linear structures from digital terrain models using deep learning (copernicus.org),F,yes,yes,1,RD,3 available & open,3 available & open,F,3 available & open,"Since the reproducibility review process, the authors have updated the paper with a DASA. They provided a reference Zenodo DOI for all the code and a test dataset. However, as noted by the reproducibility reviewer, the real data remains private (and poorly documented). But as authors provide a test dataset, i gave a 3 to data",T,OSF | Reproducibility review of: Extraction of linear structures from digital terrain models using deep learning
agile,agile_2021_012,2021,Automated Extraction of Labels from Large-Scale Historical Maps (copernicus.org),F,yes,yes,1,ST,2 available,3 available & open,F,3 available & open,"Input data: dataset (Hamburg historical map) is referenced in a Zenodo DOI with results but is not available.
Methods: documented automated text detection and recognition workflow using Strabo and Tesseract, with Python code shared on Zenodo.
Results: documented with detection accuracy (recall up to 66%) and georeferencing examples; raw data and ground truth shared.
Computational environment: detailed Python, QGIS 3.16, Ubuntu 18.04, Windows 10, libraries specified, no hardware specificacions",T,OSF | Reproducibility review of: Automated Extraction of Labels from Large-Scale Historical Maps
agile,agile_2021_013,2021,An Approach to Assess the Effect of Currentness of Spatial Data on Routing Quality (copernicus.org),F,yes,yes,1,MM,3 available & open,1 documented,F,1 documented,"Data: in OSF
Methods: no libraries' versions
Results: not all are fully reproducible",T,OSF | Reproducibility review of: An Approach to Assess the Effect of Currentness of Spatial Data on Routing Quality
agile,agile_2021_014,2021,A Socially Aware Huff Model for Destination Choice in Nature-based Tourism (copernicus.org),F,yes,yes,1,PK,2 available,3 available & open,T,2 available,,T,OSF | Reproducibility review of: A Socially Aware Huff Model for Destination Choice in Nature-based Tourism
agile,agile_2021_015,2021,Training students in Python programming skills and WPS wrapping for geoprocessing tasks by using examples of less commonly applied thematic mapping methods (copernicus.org),T,yes,yes,1,AG,NA,NA,F,NA,,F,NA
agile,agile_2021_016,2021,Mining Map Interaction Semantics in web-based Geographic Information Systems (WebGIS) for Usability Analysis (copernicus.org),F,yes,yes,1,TN,1 documented,1 documented,F,1 documented,"TN: 
!potential conflict of interest due to previous employment and supervisory relationship!
- different components are used for the approach, including a Python script, but Python script is not available. 
- methods explained by text, formulas, short example code
- results presented as tables and text 
- no input/results dataset available 
- computing environment is described as a VM running Windows 10 and Elasticsearch Cluster v2.1, but connection details to datasets are not shared due to security concerns",F,NA
agile,agile_2022_001,2022,Geotechnology-based Spatial Learning: The Effects on Spatial Abilities and Sketch Maps in an Inter-Cultural Study,F,no,yes,2,ST,0 undocumented,1 documented,F,1 documented,"Input Data: data from sketch maps, mental rotation tests, and spatial orientation tests briefly documented, lacks direct links or public access.
Methods: methods for spatial learning using geocaching games described, no code or implementation details provided.
Results: documented with statistical analyses, improvements in spatial abilities, and pre/post-test comparisons, but output data is not shared.
Computational Environment: laptops and software mentioned, but no detailed hardware, OS, or runtime specifics provided.",F,NA
agile,agile_2022_002,2022,Understanding the Imperfection of 3D point Cloud and Semantic Segmentation algorithms for 3D Models of Indoor Environment,F,yes,yes,2,MM,2 available,2 available,F,2 available,"Data: no permanent link
Methods: code provided, no versions
Results: code provided
",T,https://doi.org/10.17605/OSF.IO/Z7P8K
agile,agile_2022_003,2022,Optimizing Electric Vehicle Charging Schedules Based on Probabilistic Forecast of Individual Mobility,F,yes,yes,2,PK,0 undocumented,2 available,F,1 documented,"Data: Some data components may be available, but participant data is not available due to privacy agreement",T,https://doi.org/10.17605/OSF.IO/JDTN3
agile,agile_2022_004,2022,What are intersections for pedestrian users?,F,yes,yes,2,AG,2 available,2 available,F,1 documented,"Data: in GH rep
Methods: GH repo
Comp env: only depencies described",T,https://doi.org/10.17605/OSF.IO/XPG6Y
agile,agile_2022_005,2022,Spatial Disaggregation of Population Subgroups Leveraging Self-Trained Multi-Output Gradient Boosting Regression Trees,F,yes,yes,2,TN,1 documented,2 available,F,1 documented,"TN: 
- data sources documented by overview tables and by links (link for amsterdam data not working)
- methods and results documented by text, tables, figures but no raw data
- GitHub repository linked but DOI, license missing",T,https://doi.org/10.17605/OSF.IO/CDFAH
agile,agile_2022_006,2022,Exploratory Analysis and Feature Selection for the Prediction of Nitrogen Dioxide,F,yes,yes,2,DN,2 available,2 available,F,2 available,"DN: DASA section points to data from official portal - seems still working; Code on GitHub though ArcGIS is required; own generated data on Zenodo (but offical portal not with DOI, so overall only ""available""); no software versions or readily usable environment; no license for the code/data on GitHub, no DOI for the code;",T,https://doi.org/10.17605/OSF.IO/W7VPH
agile,agile_2022_007,2022,Six GIScience Ideas That Must Die,T,yes,yes,2,EK,NA,NA,F,NA,"Conceptual paper - ""no directly associated data or software""",F,NA
agile,agile_2022_008,2022,"Classifying pedestrian trajectories by Machine learning using laser sensor data
",F,yes,yes,2,RD,0 undocumented,1 documented,F,0 undocumented,"in DASA: authors stated that both data and code cannot be shared.
- Data is a survey but it seems to me that we can not recreate them because there is no detailled description (they were collected in a hospital but it's never which in hospital it was)
- Method is well described 
- output: no information on how figures was produced",F,NA
agile,agile_2022_009,2022,Geoparsing: Solved or Biased? An Evaluation of Geographic Biases in Geoparsing,F,yes,yes,2,ST,2 available,2 available,F,1 documented,"Input Data: datasets used in evaluation such as GeoCorpora, LGL, GeoVirus, and WikToR are accessible, but specific subsets are not provided, and some datasets require preprocessing.
Methods: methods include deep learning (NeuroTPR, CamCoder) and off-the-shelf tools (spaCy, Edinburgh Geoparser), with code and models publicly available.
Results: figures include normalized frequency distributions, hot/cold spots, and accuracy comparisons; output data not shared.
Computational Environment: mentions tools like Python and libraries, but lacks specific hardware, OS, and runtime details.",T,https://doi.org/10.17605/OSF.IO/3DSMV
agile,agile_2022_010,2022,Benchmarking Invasive Alien Species Image Recognition Models for a Citizen Science Based Spatial Distribution Monitoring,F,yes,yes,2,MM,1 documented,3 available & open,T,3 available & open,"Data: full testing dataset not provided
Methods & Results: stored in Zenodo
Comp: OS, HW, SW versions and run time",T,https://doi.org/10.17605/OSF.IO/K78EB
agile,agile_2022_011,2022,Machine Learning with Kay,F,yes,yes,2,PK,0 undocumented,1 documented,T,1 documented,"Data: processing described, but insufficient info provided to obtain source data. Github link is dead.
Method: describes implementation process in supercomputer
Results: Results are mainly, 'how to do this'. Limited info on actual results.",F,NA
agile,agile_2022_012,2022,"""Landmark Route"": A Comparison to the Shortest Route",F,yes,yes,2,AG,3 available & open,2 available,T,3 available & open,"Data: on Figshare
Method: Analysis spreadsheet on Figshare
Comp env: Spreadsheet (.ods)",T,https://doi.org/10.17605/OSF.IO/94VNX
agile,agile_2022_013,2022,Experimental evaluation of using BLE beacon for outdoor positioning in GPS-denied environment,F,yes,yes,2,TN,2 available,1 documented,F,1 documented,"TN: 
!potential conflict of interest due to previous employment and supervisory relationship!
- system architecture documented by text, implementation via link to GitHub available, Binder environment available but not working for me (packages not available for used R version), OSF repo available, but includes only the binder link and not the implementation.  
- methods documented by text, but does not appear to include any computational analysis other than figures to show results 
- results shown in figure, no raw data available, but may be limited due to privacy issues ",T,https://doi.org/10.17605/OSF.IO/8B7MR
agile,agile_2022_014,2022,Understanding COVID-19 Effects on Mobility: A Community-Engaged Approach,F,yes,yes,2,DN,1 documented,2 available,F,1 documented,DN: code on GitHub but no DOI; data proprietary but visualisation scripts provided; repro report is partially successful; Google Drive link still works!,T,https://doi.org/10.17605/OSF.IO/KF8SR
agile,agile_2022_015,2022,The Impact of Built Environment on Bike Commuting: Utilising Strava Bike Data and Geographically Weighted Models,F,yes,yes,2,EK,2 available,2 available,F,2 available,"Preprocessed data and corresponding scripts available on Github; 
Original data (or similar) can be retrieved from the data sources",T,https://doi.org/10.17605/OSF.IO/R6PSQ
agile,agile_2022_016,2022,GeoXTag: Relative Spatial Information Extraction and Tagging of Unstructured Text,F,yes,yes,2,RD,2 available,2 available,F,2 available,"/!\ this paper was made by my current team

- Data are shared through Github
- Code: several GH repo are still working (without DOI)
- 2 webapps through an unpaid streamlit account: do not work
- output: covered by the GH repo",T,https://doi.org/10.17605/OSF.IO/3G9S8
agile,agile_2022_017,2022,A method to produce metadata describing and assessing the quality of spatial landmark datasets in mountain area,F,yes,yes,2,ST,3 available & open,3 available & open,F,1 documented,"Input Data: datasets include BDTOPO, OpenStreetMap, Refuges.info, and Camp2Camp, accessible via Zenodo with DOIs provided.
Methods: methods for data matching, metadata generation, and quality computation are well-documented, with code available on GitHub.
Results: results include figures, tables, and metrics such as confidence, positional accuracy, and completeness; no raw data shared.
Computational Environment: tools like PostgreSQL and Java are mentioned, but hardware, run time and OS details are missing.",T,https://doi.org/10.17605/OSF.IO/6S2GP
agile,agile_2022_018,2022,Showcase of Active Learning and Teaching Practices in Spatial Data Infrastructure (SDI) Education,T,no,yes,2,MM,NA,NA,F,NA,,F,NA
agile,agile_2022_019,2022,Unlocking social network analysis methods for studying human mobility,F,yes,yes,2,PK,1 documented,2 available,F,1 documented,"Data: Only 1 of 2 datasets available
Methods: Available in Python and R via GitHub",T,https://doi.org/10.17605/OSF.IO/MVQCW
agile,agile_2022_020,2022,A machine learning based approach for predicting usage efficiency of shared e-scooters using vehicle availability data,F,yes,yes,2,AG,2 available,2 available,F,1 documented,"Data: processed data via Google Drive link
Methods: GH repo 
Comp env: minimal info",T,https://doi.org/10.17605/OSF.IO/DJFC2
agile,agile_2022_021,2022,COVID-Forecast-Graph: An Open Knowledge Graph for Consolidating COVID-19 Forecasts and Economic Indicators via Place and Time,F,yes,yes,2,TN,2 available,2 available,T,2 available,"TN: 
- source for forecasts available via GitHub, Cases and Deaths Data available via GitHub, Economic data available, for input data DOI only partly available
- developed ontology described by text and available via GitHub 
- GitHub shows SPARQL queries, seems that test environment has been provided but currently unavailable
- raw results are available as csv files and python notebooks are linked, can not find DOI for implementation GitHub repository
- Code usage is described on GitHub including libraries and versions, Jupyter Notebooks. ",F,NA
agile,agile_2022_022,2022,Traffic Regulation Recognition using Crowd-Sensed GPS and Map Data: a Hybrid Approach,F,yes,yes,2,DN,0 undocumented,1 documented,F,1 documented,"DN: data partially open but one dataset is not shared due to privacy restrictions - authors did not say ""available upon request"", but I think this still is not ""documented""; code also kept back because of future work plans; the successful reproduction documents this well (https://osf.io/68yqw);

DN: This is an interesting case because of low assessment here but actually successfull reproduction during review!",T,https://doi.org/10.17605/OSF.IO/WNCSM
agile,agile_2023_001,2023,From Floorplan to Navigation Concepts: Automatic Generation of Text-based Games,F,yes,yes,3,PK,2 available,2 available,F,1 documented,Procedure to implement text automate mapping of floor plan to text. Materials to execute that procedure are available. ,F,NA
agile,agile_2023_002,2023,Analysis of cycling network evolution in OpenStreetMap through a data quality prism,F,yes,yes,3,AG,2 available,2 available,F,2 available,"Data: via Geofabrilk Download Server
Method: GH repo",T,https://doi.org/10.17605/osf.io/9kp7u
agile,agile_2023_003,2023,Indoor localisation and location tracking in indoor facilities based on LiDAR point clouds and images of the ceilings,F,yes,yes,3,TN,2 available,2 available,F,1 documented,"TN: 
- input data and implementation available via GitHub, some floorplans could not be published due to restrictions, but available input data seems to be sufficient for reproduction, no DOI available 
- software used documented but versions missing, hardware described in GitHub repository 
- results documented in tables, figures but no raw data available ",T,https://doi.org/10.17605/osf.io/8t3bh
agile,agile_2023_004,2023,Exploring MapSwipe as a Crowdsourcing Tool for (Rapid) Damage Assessment: The Case of the 2021 Haiti Earthquake,F,yes,yes,3,DN,2 available,2 available,F,2 available,"DN: case study datasets saved in GitHub repository which was, per request by the reproducibility reviewer, also deposited on Zenodo but not linked from the paper: https://doi.org/10.5281/zenodo.7691252; I applied a strict rule and only award ""available"", because only the GH repo is linked, which is a bummer because this could have been ""open"" with a short update of the paper;",T,https://doi.org/10.17605/osf.io/m5bhk
agile,agile_2023_005,2023,A Web-Application for Measuring Spatial Accessibility in Health Planning,F,yes,yes,3,EK,0 undocumented,1 documented,F,1 documented,"- Used data are not shared because of privacy issues.
- The code of the developed application is not shared. A broad flowchart is provided and implementation details are given in text.
- The result of the study is the actual web app (UI, functionality)",F,NA
agile,agile_2023_006,2023,Detecting Road Damages in Mobile Mapping Point Clouds using Competitive Reconstruction Networks,F,yes,yes,3,RD,2 available,3 available & open,F,1 documented,"- input: Found a link in the GitHub repository. Some have DOIs, while others do not.
- Methodology: GH repo do have training script for the model 
- result: I could not found scripts used to create fig and tables
- Computational env: partially described. Run time and OS missing",F,NA
agile,agile_2023_007,2023,Is it safe to be attractive? Disentangling the influence of streetscape features on the perceived safety and attractiveness of city streets,F,yes,yes,3,ST,3 available & open,3 available & open,F,3 available & open,"Input Data: participant data aggregated and shared on GitHub; street-level imagery from Cyclomedia is restricted.
Methods: methods include crowdsourcing and spatial autocorrelation analyses; code is available on GitHub.
Results: figures, histograms, and spatial correlation metrics provided; aggregated data is shared.
Computational Environment: mentions Python libraries and tools like AngularJS, but lacks specific hardware, OS, or runtime details. Provide a Dockerfile. However, this aspect could be omitted.",T,https://doi.org/10.17605/osf.io/aqgxr
agile,agile_2023_008,2023,Urban Sound Mapping for Wayfinding – A theoretical Approach and an empirical Study,F,yes,yes,3,MM,3 available & open,1 documented,F,3 available & open,"Data/Results: in figshare with DOI
Methods: uses GUI but well described
Comp: no HW, SW, etc...",T,https://doi.org/10.17605/osf.io/c7vx3
agile,agile_2023_009,2023,Semantic complexity of geographic questions - A comparison in terms of conceptual transformations of answers,F,yes,yes,3,PK,3 available & open,2 available,F,1 documented,Data: Inherit DOI of project?,T,https://doi.org/10.17605/osf.io/d2shf
agile,agile_2023_010,2023,Extreme heat alerts and impacts across Mozambique 2016 – 2022: gathering evidence from media articles,F,yes,yes,3,AG,1 documented,1 documented,F,1 documented,"Data: via humdata.org & NOAA & GH repo of repro study
Method: Excel sheets in repro study repo",T,https://doi.org/10.17605/osf.io/eu8kw
agile,agile_2023_011,2023,Evaluating and Comparing Airspace Structure Visualisation and Perception on Digital Aeronautical Charts,F,yes,yes,3,TN,2 available,2 available,T,2 available,"TN: 
- code to generate figures, raw data (e.g. survey, results) available via ETHZ's data sharing platform, but no DOI available
- computational demand seems negligible, therefore computational environment true ",T,https://doi.org/10.17605/osf.io/rbgvk
agile,agile_2023_012,2023,Does spatial thinking ability relate to performance when using web-mapping services? A survey with digital natives,F,yes,yes,3,DN,3 available & open,3 available & open,F,3 available & open,"DN: user study with several questionnaires; data and code shared on Figshare though not so nicely (zipped CSVs, stats just in R code);",T,https://doi.org/10.17605/osf.io/2em7v
agile,agile_2023_013,2023,Active teaching and learning in GI sciences: lessons learned from the BSc. Course Open Urban Data Governance,F,yes,yes,3,EK,0 undocumented,1 documented,F,1 documented,"- The paper reports on the elaboration of student projects during a BSc course 
- DASA states that no data were collected; however, I do think that the input data could have been at least the project reports written by the students. A link to the Uni repository is provided for 2/10 reports, but it is impossible to find them burried under all materials published on this repo ",F,NA
agile,agile_2023_014,2023,Advancing Forest Monitoring and Assessment Through Immersive Virtual Reality,F,yes,yes,3,RD,3 available & open,1 documented,F,3 available & open,"An unique Zenodo repo containing all data and script.
-> it seems to me that everything was fully open, but then I read the Agile reproducibility report that stated that the main developped contribution was missing.",T,https://doi.org/10.17605/osf.io/27wzp
agile,agile_2024_001,2024,Developing a city-specific walkability index through a participatory approach,F,yes,yes,4,ST,2 available,2 available,F,2 available,"Input Data: multiple datasets, including OpenStreetMap, BGT, and RIVM, are openly available and referenced with specific sources; processed data is shared through a public portal.
Methods: participatory approach with Q methodology and geospatial data analysis; workflows and scripts are shared.
Results: results include detailed walkability index scores, sub-index maps, and validation studies; ouput data is shared.
Computational Environment: mentions Python, GIS tools, and Ken-Q Analysis, but no details on hardware or runtime specifics.",T,https://doi.org/10.17605/osf.io/csb7r
agile,agile_2024_002,2024,A model-driven methodology for integrating heterogeneous 3D geospatial urban entities,F,yes,yes,4,MM,3 available & open,3 available & open,F,1 documented,"Data: in Zenodo, but poorly explained in paper
Methods: code and libraries in Zenodo
Results: output from manipulation of application",F,NA
agile,agile_2024_003,2024,The Impact of Traffic Lights on Modal Split and Route Choice: A use-case in Vienna,F,yes,yes,4,PK,3 available & open,2 available,F,1 documented,,T,https://doi.org/10.17605/osf.io/w42ad
agile,agile_2024_004,2024,Process Analysis in Humanitarian Voluntary Geographic Information: the case of the HOT Tasking Manager,F,yes,yes,4,AG,1 documented,2 available,F,1 documented,"Data: via HOTOSM & Bundinglabs
Code: GH repo
Results: partially reproducable but not complelety verified",T,https://doi.org/10.17605/osf.io/fmgb4
agile,agile_2024_005,2024,Road Network Mapping from Multispectral Satellite Imagery: Leveraging Deep Learning and Spectral Bands,F,yes,yes,4,TN,3 available & open,3 available & open,T,3 available & open,"TN: 
- input data, software, results available via TU Vienna Research Data Portal with DOI licensed CC4.0
- computing environment available with environment.yml, hardware configuration & operating system & computational demand (some details missing), but various information and therefore rated as available  ",T,https://doi.org/10.17605/osf.io/txgzv
agile,agile_2024_006,2024,FreeMapRetrieve: Freehand Gestures for Retrieve Operations in Large-Screen Map Environments,F,yes,yes,4,DN,0 undocumented,2 available,F,2 available,"DN: multiple tools developed; code for data collection and data analysis are shared on GitHub, training protocol and videos on Figshare; the data analysis code was successfully reproduced, data collection hardware etc. obviously not;",T,https://doi.org/10.17605/osf.io/gvpd9
agile,agile_2024_007,2024,Knowledge-Based Identification of Urban Green Spaces: Allotments,F,yes,yes,4,EK,2 available,3 available & open,F,1 documented,"- All datasets but one are freely available online and can be downloaded from original source
- R scripts and ArcGIS project package file in figshare repo (functionality confirmed by repro review)
- Smaller dataset provided in figshare repo including building, roads, railroads, water bodies, land use and  training data (surveyed?) shapefiles and nDSM and DOP rasters",T,https://doi.org/10.17605/osf.io/3nbjw
agile,agile_2024_008,2024,OER4SDI: Open Educational Resources for Spatial Data Infrastructures,F,yes,yes,4,RD,NA,NA,F,2 available,"Article presents educational resources for SDI (Spatial Data Infrastructure). There is no methology described in this paper, nor evaluation of the work. It's more or less a conceptual paper but as all educational ressources are shared through Github with license, i kept it like a normal paper.
DASA gives a link to a github organisation with 17 repositories. Several are cited in the papers as illustrations",F,NA
agile,agile_2024_009,2024,Explore maps as you read a comic book,T,yes,yes,4,ST,NA,NA,F,NA,Conceptual framework and design principles are described. It shared a set of files as data but no workflows or code provided.,F,NA
agile,agile_2024_010,2024,Towards semantic enrichment of Earth Observation data: The LEODS framework,F,yes,yes,4,MM,0 undocumented,1 documented,F,1 documented,"Data: It indicates the source, but it is not clear where the data comes from (collection, specific regions, etc)
Methods: workflows and diagrams presented, formulas in GitHub
Results: Output cubes and queries in GitHub, but nothing about the maps",F,NA
agile,agile_2024_011,2024,Enhancing toponym identification: Leveraging Topo-BERT and open-source data to differentiate between toponyms and extract spatial relationships,F,yes,yes,4,PK,3 available & open,2 available,T,2 available,Enviro: Very close. Gave a qualitative assessment of runtime in the OSF readme,T,https://doi.org/10.17605/osf.io/nbk57
agile,agile_2024_012,2024,A Gamified Platform to Encourage Sustainable Behaviours,F,yes,yes,4,AG,0 undocumented,0 undocumented,F,1 documented,"Data: various non-public APIs
Method: App closed source",F,NA
agile,agile_2024_013,2024,Evaluating geotemporal behaviours of OpenStreetMap contributors,F,yes,yes,4,TN,1 documented,1 documented,F,1 documented,"TN:
- data from OSM demographic study (reference to paper but raw data not available - privacy issues), OSM changesets via OSM API (ODbL), world country boundaries via ArcGIS Hub (Esri Master Licence Agreement). 
- Figure scripts available via Zenodo licensed CC4.0, some scripts seem to be missing e.g. scripts to calculate GSI (reference is made to another paper including Zenodo publication, but GSI calculation seems to have been done in an unavailable Excel file). 
- no raw results available  ",F,NA
agile,agile_2024_014,2024,Random Data Distribution for Efficient Parallel Point Cloud Processing,F,yes,yes,4,DN,1 documented,2 available,T,1 documented,DN: infrastructure for point cloud data management and analysis; main dataset is official from Netherlands; GitHub repo contains scripts for sample data download and (performance) analysis; reproducibility report only tested the system but not do any processing or analysis; results are documented with figures/stats in the paper only;,T,https://doi.org/10.17605/osf.io/ymc3t
giscience,giscience_2016_001,2016,Computing River Floods Using Massive Terrain Data,F,no,no,4,AG,1 documented,1 documented,F,1 documented,"Data: SRTM
Method: no repo",NA,NA
giscience,giscience_2016_002,2016,Partitioning Polygons via Graph Augmentation,F,no,no,4,TN,1 documented,1 documented,F,1 documented,"TN:
- input data for figures documented (e.g. shape Europe, ATKIS DLM 50) but not available
- algorithms documented by text and formulas, but no script available, e.g. for computing use cases
- results of applying the algorithm to the two GIS problems shown by figures, text ",NA,NA
giscience,giscience_2016_003,2016,Hierarchical Prism Trees for Scalable Time Geographic Analysis,F,no,no,4,DN,0 undocumented,1 documented,F,1 documented,"DN: data structure for data analysis with demonstration case based on open data; in final paragraph a Python tool suite is said to be under development; enviroCar is described as a data source, but the subset used for analysis is not documented; method is described in plain text (not formulas);  exemplary result is shown in a couple of figures; IMO this borders on conceptional, and the demonstration case could likely have been shared reproducibly at the time of publication;",F,NA
giscience,giscience_2016_004,2016,Mining Network Hotspots with Holes: A Summary of Results,F,no,no,4,EK,1 documented,1 documented,F,1 documented,"- Links for datasets under ""Experimental Evaluation"" provided. 
- Methods and results documented in the manuscript, no links to code",NA,NA
giscience,giscience_2016_005,2016,Distance-Constrained k Spatial Sub-Networks: A Summary of Results,F,no,no,4,RD,0 undocumented,1 documented,F,0 undocumented,"Authors stated that: ""Interested readers may contact the authors for additional detail on the data and code used for this analysis""
- input data: user used OSM without giving filter fields. They also use a dataset of crime without giving a name or an URL
- methodology: pseudo provided
- results: empty",NA,NA
giscience,giscience_2016_006,2016,GIScience Considerations in Spatial Social Networks,T,no,no,4,ST,NA,NA,F,NA,"Conceptual article, it discusses theoretical and methodological aspects without utilizing specific datasets, computational tools, or producing tangible results",NA,NA
giscience,giscience_2016_007,2016,On Distortion of Raster-Based Least-Cost Corridors,F,no,no,4,MM,1 documented,1 documented,F,1 documented,"Data: Although not providing the data, grids could be recreated",NA,NA
giscience,giscience_2016_008,2016,Model-Based Clustering of Social Vulnerability to Urban Extreme Heat Events,F,no,no,4,PK,0 undocumented,0 undocumented,F,1 documented,"Data: Potentially recreatable, but so much info is missing a lot of guessing would be needed.
Method: Diagrams and description, but implementation details are absent. Contact authors stated in workflow diagram.",NA,NA
giscience,giscience_2016_009,2016,Representing the Spatial Extent of Places Based on Flickr Photos with a Representativeness-Weighted Kernel Density Estimation,F,no,no,4,AG,1 documented,1 documented,F,1 documented,"Data: Flickr photos, borders, ",NA,NA
giscience,giscience_2016_010,2016,Scaling Behavior of Human Mobility Distributions,F,no,no,4,TN,1 documented,1 documented,F,1 documented,"TN: 
- input data documented by references, but not easily accessible and therefore not available 
- methods documented by formulas, text, no scripts (e.g. R scripts) available for generated figures 
- results presented as figures, text, but no raw data (e.g. mentioned text files) available
- some characteristics of the computing environment mentioned (software: Eureqa, R, Ubuntu 15.10), hardware Core AMD processor, 8 GB memory), but some versions are missing. ",NA,NA
giscience,giscience_2016_011,2016,pFUTURES: A Parallel Framework for Cellular Automaton Based Urban Growth Models,F,no,no,4,DN,0 undocumented,1 documented,F,1 documented,"DN: framework for distributed computing based on open-source model; system is described in detail in the text and illustrated with figures; an experimental evaluation was conducted, listing the system hardware and reporting execution times in graphs only, no statistics/numbers; no mentioning of where the test data (three study regions, all US based, likely public data..) comes from;",F,NA
giscience,giscience_2016_012,2016,From Data Streams to Fields: Extending Stream Data Models with Field Data Types,T,no,no,4,EK,NA,NA,F,NA,"Formalization of suggested data model, the paper basically consists of literature review and definitions/descriptions of data types.",NA,NA
giscience,giscience_2016_013,2016,Point Partitions: A Qualitative Representation for Region-Based Spatial Scenes in R2,T,no,no,4,RD,NA,NA,F,NA,"Authors examined different topological relations between objects like Disjoint, Overlap, Contains, ...",NA,NA
giscience,giscience_2016_014,2016,Fine Scale Spatio-Temporal Modelling of Urban Air Pollution,F,no,no,4,ST,0 undocumented,1 documented,F,1 documented,"Input Data: NO concentration data collected from regulatory networks in Calgary over three years is used, but no direct access or DOIs are provided.
Methods: spatio-temporal modeling using harmonic regression and land use regression (LUR) is detailed; methodology well-documented but no code shared.
Results: results include predictions of NO₂ concentrations at postal code levels, figures, RMSE metrics, and maps of spatial coefficients; output data not shared.
Computational Environment: no details on hardware, OS, or runtime specifics.",NA,NA
giscience,giscience_2016_015,2016,Modeling Checkpoint-Based Movement with the Earth Mover’s Distance,F,no,no,4,MM,0 undocumented,1 documented,F,1 documented,"Data: source dataset could be obtained, but the applied modifications are poorly described
Methods: formulas included, but with few details",NA,NA
giscience,giscience_2016_016,2016,Exploratory Chronotopic Data Analysis,F,no,no,4,PK,0 undocumented,1 documented,F,1 documented,"Data: No enough detail to regenerate the dataset. To be fair it is a massive dataset, the temporal dimension is also essential here as wiki is always changing
Method: General description, but bordering on undocumented",NA,NA
giscience,giscience_2016_017,2016,Exploring the Notion of Spatial Lenses,T,no,no,4,AG,NA,NA,F,NA,,NA,NA
giscience,giscience_2016_018,2016,Moon Landing or Safari? A Study of Systematic Errors and Their Causes in Geographic Linked Data,F,no,no,4,TN,0 undocumented,1 documented,F,1 documented,"TN:
- input data (e.g. figure 1) mentioned but not specified (corresponding elsewhere in the paper partly not working e.g. lodlaundromat), no details available how data was extracted 
- figure 1 as result is mentioned as available in high resolution on university website but link does not working 
- SPARQL queries used are mentioned but results of these queries not shown ",NA,NA
giscience,giscience_2016_019,2016,Circles in the Water: Towards Island Group Labeling,F,no,no,4,DN,0 undocumented,1 documented,F,1 documented,"DN: new label placement algorithm, tested exprimentally with real-world data; further results are link to a personal website, which is offline and not archived in the Wayback Machine; algorithm is documented in text/Lemmas; examples are shown as maps and with statistics comparing computed and original/manual label; a few people are thanked for providing digized maps - so copyright of the data may actually have been an issue, not that any attempt of sharing code or data seems to have been made;",F,NA
giscience,giscience_2016_020,2016,An Algorithmic Framework for Labeling Road Maps,F,no,no,4,EK,0 undocumented,1 documented,T,1 documented,"Paper provides link for the raw data, but access is forbidden for me. Methods and results described in the text. Few computational env. details also mentioned there.",NA,NA
giscience,giscience_2016_021,2016,Measuring Cognitive Load for Map Tasks Through Pupil Diameter,F,no,no,4,RD,0 undocumented,1 documented,F,1 documented,"Measurement of pupil dilatation when users are asked several tasks on a web maps (as a proxy of cognitive load)
- input data: Gmap and OSM without filter or precise extent. Authors said they use old Gmaps style (from 2013) and it was not available in 2016. The datasets of eye tracking is not available 
- methodology: explained but no link is provided
- results: explained but no link is provided
- computational env: only the eye tracker set-up is partially described",NA,NA
giscience,giscience_2018_001,2018,Early Detection of Herding Behaviour during Emergency Evacuations,F,no,yes,2,TN,1 documented,1 documented,F,1 documented,"TN:
- documented how data for the experiments were created, but not available (e.g. text file for location data, no script available how simulation was conducted) 
- used methods are documented by text and formulas 
- results documented in tables and graphs 
- computational environment not available ",NA,NA
